SLOT,Player,opp,STATUS,R,TB,RBI,BB,K,SB,CYC,E,%ROST,+/-,tot,avg,IP,H,ER,NH,W,L,SV
C,Keibert RuizWshC,@Atl,3-1Top 9th,53,189,61,31,43,0,0,0,88.4,-1.8,291,2.6,,,,,,,
1B,Freddie FreemanLAD1B,@Min,3-0End 7th,107,317,88,83,109,8,0,0,99.8,0,494,3.1,,,,,,,
2B,"Ketel MarteSAriOF, 2B",Hou,2:40 PM (Valdez),82,290,77,49,91,6,0,0,98.8,-0.7,413,2.8,,,,,,,
3B,Jeimer CandelarioDet3B,Bos,1-7Bot 5th,70,246,62,63,137,1,0,0,70.1,-2.9,305,2.1,,,,,,,
SS,Wander FrancoSTBSS,Oak,5:40 PM (Montas),107,277,84,48,76,6,0,0,99.7,0,446,3.1,,,,,,,
2B/SS,Kolten WongMil2B,@Bal,6:05 PM (Means),80,216,60,45,94,17,0,0,74.0,-8.4,324,2.2,,,,,,,
1B/3B,"Lourdes Gurriel Jr.TorOF, 1B, DH",@NYY,6:05 PM (Cole),70,266,89,32,121,4,0,0,91.3,-2.4,340,2.3,,,,,,,
OF,"George SpringerTorOF, DH",@NYY,6:05 PM (Cole),88,246,78,59,112,5,0,0,99.5,0,364,3.0,,,,,,,
OF,Starling MarteNYMOF,@Phi,4-1Top 5th,89,242,65,37,120,31,0,0,96.6,-0.8,344,2.4,,,,,,,
OF,"Giancarlo StantonNYYOF, DH",Tor,6:05 PM (Berrios),71,253,96,65,164,1,0,0,96.9,-0.4,322,2.3,,,,,,,
OF,"Franmil ReyesCleDH, OF",@Cin,6-1Top 6th,79,282,103,56,189,3,0,0,86.8,-4.1,334,2.2,,,,,,,
OF,Dylan CarlsonStLOF,KC,Postponed,83,242,69,56,146,6,0,0,82.6,-1.4,310,2.1,,,,,,,
UTIL,"Michael BrantleySHouOF, DH",@Ari,2:40 PM (Kelly),66,208,54,37,60,3,0,0,90.5,-2.3,308,2.5,,,,,,,
Bench,Anthony RendonLAA3B,0,,83,258,90,78,86,2,0,0,97.9,-1.1,425,3.1,,,,,,,
Bench,C.J. CronCol1B,0,,65,258,87,52,119,1,0,0,89.2,-2.3,344,2.5,,,,,,,
Bench,"Jared WalshLAA1B, OF",0,,77,275,98,48,172,1,0,0,89.0,-1.7,327,2.1,,,,,,,
P,Gerrit ColePPNYYSP,Tor,6:05 PM (Berrios),,,,45,261,,,,99.9,0.0,527,16.5,196.0,157.0,75.0,0.0,14.0,8.0,0.0
P,Robbie RayPPSeaSP,@ChW,6:10 PM (Keuchel),,,,64,267,,,,99.8,0.0,452,14.1,186.0,152.0,81.0,0.0,11.0,10.0,0.0
P,Freddy PeraltaMilSP,@Bal,6:05 PM (Means),,,,63,222,,,,99.3,-0.4,419,14.0,164.0,124.0,64.0,0.0,11.0,7.0,0.0
P,Joe MusgroveSDSP,@SF,2:45 PM (Webb),,,,52,198,,,,99.2,-0.1,379,11.8,177.0,156.0,76.0,0.0,11.0,9.0,0.0
P,Nathan EovaldiBosSP,@Det,7-1Bot 5th,,,,37,186,,,,98.0,-0.5,375,11.7,173.0,170.0,74.0,0.0,12.0,7.0,0.0
P,Eduardo RodriguezDetSP,Bos,1-7Bot 5th,,,,56,194,,,,93.4,-2.1,337,10.9,169.0,155.0,74.0,0.0,9.0,10.0,0.0
P,Ryan PresslyHouRP,@Ari,2:40 PM (Kelly),,,,15,84,,,,97.8,-0.3,334,5.4,64.0,49.0,19.0,0.0,3.0,4.0,33.0
P,Chris BassittNYMSP,@Phi,4-1Top 5th,,,,48,168,,,,96.0,-0.5,333,11.5,167.0,149.0,72.0,0.0,10.0,9.0,0.0
P,Edwin DiazNYMRP,@Phi,4-1Top 5th,,,,24,98,,,,95.2,-2.2,325,5.0,67.0,49.0,23.0,0.0,2.0,5.0,32.0
